key,name,subject_type,title,edition_count,subject,authors
/subjects/picture_books,picture books,subject,Frog and Toad All Year,49,"accelerated reader,amistad,animals,children's fiction,children's stories,classics,comedy & humor,estaciones del año,ficción juvenil,fiction,friendship,frogs,frogs & toads,juvenile audience,juvenile fiction,juvenile works,novela juvenil,ranas,sapos,seasons,social themes,Spanish language materials,toads,Children's fiction,Frog and toad (fictitious characters), fiction,Frogs, fiction,Picture books,Literature and fiction, juvenile,Accessible book,Protected DAISY",Arnold Lobel
/subjects/picture_books,picture books,subject,The tale of Mrs. Tittlemouse,48,"Mice,Mice in fiction,Fiction,Ficción juvenil,Ratones,Juvenile fiction,Children's stories, English,Children's fiction,Mice, fiction,Initial teaching alphabet,Pictorial works,Board books,Orderliness,Animals,Hedgehogs,Picture books,Children's stories,Accessible book","Beatrix Potter, Wendy Rasmussen, H.Y. Xiao PhD"
/subjects/picture_books,picture books,subject,The Gruffalo,64,"Animals,Juvenile fiction,Fiction,Stories in rhyme,Mice,Children’s Picture Books,Children: Kindergarten,Children's fiction,Mice, fiction,Monsters, fiction,Animals, fiction,Puzzles,Puzzles, juvenile literature,Pictorial works,Child and youth fiction,Picture books,Gruffalo (Fictitious character),Tricksters,Monsters,Animales-,Cuentos-,Libros infantiles,Lengua inglesa-,Libros infantiles y juveniles,Lecturas-,Ingelesa-,Haur eta gazteentzako liburuak,Irakurgaiak-,Accessible book,Protected DAISY",Julia Donaldson
/subjects/picture_books,picture books,subject,Make Way for Ducklings,56,"Juvenile fiction,Fiction,Picture books for children,Ducks,Braille,Caldecott Medal,Children's stories,Japanese language books,Picture books,ducklings,illustration,kid's books,Caldecott medal book,Big books,Oversize books,Specimens,Blind,Books and reading,Animals,Family,Ducks, Geese,3.1.,Caldecott Medal books,Classics,Accelerated Reader,Children's fiction,Ducks, fiction,Boston (mass.), fiction,Accelerated Reader - 3.1.,Family life,Children's stories, American,Harmonica,Children's audiobooks,Audiobooks,Short stories,Patos,Ficción juvenil,Spanish language materials,Reading materials,City & Town Life,Spanish language,Novela juvenil,Legends, Myths, Fables,collectionID:caldecott40,Accessible book,Protected DAISY",Robert McCloskey
/subjects/picture_books,picture books,subject,La Petite Sirene (French Well Loved Tales),54,"Contes danois,Fairy tales,Mermaids,Fiction,Children's stories, Danish,Translations into English,Coloring books,Translations into Russian,Children's audiobooks,Translations into Marathi,Fairytales,Juvenile fiction,Tales,Plays,Children's plays,Children's fiction,Mermaids, fiction,Children's stories, English,Musical books,Sound effects books,Specimens,Picture puzzles,Toy and movable books,Picture books,Hans Christian Anderson (1805-1875),Easy reading,Kids,Children,Children's,Juvenile,Books,Picture Books,Stories,Folklore,Fables,Fantasy,Accessible book,Protected DAISY","Hans Christian Andersen, Yayoi Kusama, Bernadette Watts"
/subjects/picture_books,picture books,subject,Green Eggs and Ham,54,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,PICTURE LIONS,Jig Story,4,Jigsaw,Puzzles,20,Activities,Chamber music,Accessible book,Protected DAISY",Dr. Seuss
/subjects/picture_books,picture books,subject,Little Bear,54,"Mothers and sons,Madres e hijos,Little Bear (Fictitious character : Minarik),Bears,Juvenile literature,Fiction,Osos,Ficción juvenil,Children's stories,Friendship,Juvenile fiction,Children's fiction,Bears, fiction,Mothers and sons, fiction,Little bear (fictitious character : minarik), fiction,Picture books,Reading list,Hockaday,Before kindergarten,Reading List,UP Elementary,Entering 2nd grade,Spanish language materials,Literature and fiction, juvenile,Accessible book,Protected DAISY","Else Holmelund Minarik, Maurice Sendak"
/subjects/picture_books,picture books,subject,Frog and Toad Together,53,"amistad,animals,best friends,children's fiction,children's short stories in english,children's stories,classics,cookies,courage,dragons,easy books,emotions & feelings,ficción juvenil,fiction,friendship,frogs,frogs & toads,frogs, fiction,gardens,giants,humor & funny stories,juvenile audience,juvenile fiction,juvenile works,kindness,loyalty,newbery honor,sharing & cooperating,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,sapos,sharing,short stories,social themes,Spanish language,toads,Children's fiction,Frogs, fiction,Picture books,Friendship,Juvenile fiction,Frogs,Toads,Fiction,JUVENILE FICTION,Animals,Frogs & Toads,Social Themes,Emotions & Feelings,Children's stories,Frog and toad (fictitious characters), fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY",Arnold Lobel
/subjects/picture_books,picture books,subject,Die schönsten Märchen,53,"Fairy tales,Fiction,Nightingale,Nightingales,Children's stories, Danish,Translations into Russian,Translations into English,Juvenile fiction,Cuentos de hadas,Ficción juvenil,Juvenile literature,Ruiseñores,Danish literature,Children's literature, Danish,Literature and fiction, juvenile,Nightingale in fiction,Nightingales in fiction,Monasticism and religious orders for women,Vocation (in religious orders, congregations, etc.),Children's fiction,Birds, fiction,Readers,Picture books,Picture books for children,Accessible book","Hans Christian Andersen, Jin-kyeong Lee"
/subjects/picture_books,picture books,subject,Corduroy,52,"Chinese language materials,Corduroy (Fictitions character),Day,Department stores,Fiction,Juvenile fiction,Picture books,Teddy bears,Toys,Percussion instruments,Motor learning,Children's fiction,Toys, fiction,Corduroy (fictitious character), fiction,Bears, fiction,Fantasy,Corduroy (Fictitious character),Pictorial works,Juguetes,Bears,Osos,Ficción juvenil,Osos de felpa,Picture books for children,Spanish language materials,Friendship, fiction,Children's stories,Corduory(Fictitious character),Friendship,African American girls,Teddy bears, fiction,Department stores, fiction,Toy and movable books,Accessible book,Protected DAISY",Don Freeman
/subjects/picture_books,picture books,subject,The emperor's new clothes,52,"Juvenile fiction,Fairy tales,Pride and vanity,Fiction,Polyglot texts, selections, quotations,Children's stories, Danish,Children: Preschool,Children's 4-8,Children's Books/Ages 4-8 Fiction,Classics,Non-Classifiable,Fairy Tales & Folklore - Single Title,Fairy Tales & Folklore - General,Aristocracy (Social class),Statesmen,Tailors,Emperors,Children's fiction,Kings, queens, rulers, etc., fiction,Behavior, fiction,Clothing and dress, fiction,Clothing and dress,Children's stories,Classic Fairy Tales,Tailors, fiction,Picture books,Danish Fairy tales,Spanish language materials,Translations into English,Comic and Graphic Books,Deception,Korean language materials,Accessible book,Protected DAISY","Hans Christian Andersen, E Tharlet, H. Anderson, Virginia Lee Burton, Starbright Foundation Staff, Jeffrey Stewart Timmins, Stephanie True Peters"
/subjects/picture_books,picture books,subject,Frederick,51,"Children's stories,Fairy tales,Juvenile fiction,Mice,Mice in fiction,Imagination,Sharing,Families,Winter,Fiction,Accelerated Reader 3.5.,Children's fiction,Picture books,Fiction, general,Turkish language materials,Mice, fiction,collectionID:caldecotthonor60,Spanish language materials,Ratones,Estaciones del año,Novela infantil,Accessible book,Protected DAISY",Leo Lionni
/subjects/picture_books,picture books,subject,Frog and Toad All Year,49,"accelerated reader,amistad,animals,children's fiction,children's stories,classics,comedy & humor,estaciones del año,ficción juvenil,fiction,friendship,frogs,frogs & toads,juvenile audience,juvenile fiction,juvenile works,novela juvenil,ranas,sapos,seasons,social themes,Spanish language materials,toads,Children's fiction,Frog and toad (fictitious characters), fiction,Frogs, fiction,Picture books,Literature and fiction, juvenile,Accessible book,Protected DAISY",Arnold Lobel
/subjects/picture_books,picture books,subject,The tale of Mrs. Tittlemouse,48,"Mice,Mice in fiction,Fiction,Ficción juvenil,Ratones,Juvenile fiction,Children's stories, English,Children's fiction,Mice, fiction,Initial teaching alphabet,Pictorial works,Board books,Orderliness,Animals,Hedgehogs,Picture books,Children's stories,Accessible book","Beatrix Potter, Wendy Rasmussen, H.Y. Xiao PhD"
/subjects/picture_books,picture books,subject,Swimmy,45,"Children's fiction,Friendship, fiction,Picture books,Fishes,Juvenile fiction,Courage,Cooperation,Fear, fiction,Courage, fiction,Fishes, fiction,Swimmy,Leo Lionni,Caldecott Honor Book,Ocean,Sea Fish,Red,Black,Big,Large,Sea,Rock,Coral,Anemones,Seaweed,Sea life,Lobster,Eels,Tuna,Rainbow Jellyfish,Camouflage,Children,Age 3-7,Pre-K to 2,Children's,Juvenile,Fantasy,Fiction,Books,Picture book,Literature,Stories,Friends,Friendship,Leader,Leadership,Teamwork,Working together,Honor,Differences,Problem solving,collectionID:caldecotthonor60,Peces,Vocabulary,Readers,Spanish language,Ficción juvenil,Spanish language materials,Cuentos italianos,Materiales lectura en idioma espanol,Novela,Accessible book,Protected DAISY","Leo Lionni, Xosé Manuel González, Ignasi Centelles"
/subjects/picture_books,picture books,subject,Stellaluna,44,"owls,Juvenile Fiction,Aves,Bats,Birds,Ficción juvenil,Fiction,Juvenile software,Murciélagos,Software,Specimens,Toy and movable books,Picture books,Friendship,Board books,Spanish: Kindergarten,Short Stories,Children's 4-8 - Picturebooks,Children's Books/Ages 4-8 Fiction,Spanish: Grades 2-3,Spanish: Grades 1-2,Animals - Mammals,Animals - Birds,Children's fiction,Bats, fiction,Birds, fiction,Friendship, fiction,Juvenile literature,Action & Adventure,Animals,Baby Animals,Family,Adoption,Accessible book,Protected DAISY",Janell Cannon
/subjects/picture_books,picture books,subject,Room on the Broom,41,"Animals,Juvenile fiction,Dragons,Stories in rhyme,Animals in fiction,Dragons in fiction,Witches,Fiction,Witches in fiction,Children's fiction,Witches, fiction,Animals, fiction,Dragons, fiction,Sound, fiction,Board books,Halloween, fiction,Toy and movable books,Picture books,Child and youth fiction,Fantasy & Magic,Holidays & Celebrations,Halloween,Humorous Stories,Student activities,Creative activities and seat work,Accessible book,Protected DAISY","Julia Donaldson, Axel Scheffler, Paz Barroso, Ignacio Sanz"
/subjects/picture_books,picture books,subject,Dear zoo,41,"Zoo animals in fiction,Bilingual,Toy and movable books,Pets in fiction,Juvenile fiction,Zoo animals,Board books,Lift-the-flap books,Fiction,Chinese language materials,Pets,Specimens,Juvenile literature,Animals,Children's fiction,Zoo animals, fiction,Pets, fiction,Social conditions,Economic conditions,History,Picture books,JUVENILE FICTION / Animals / Zoos,Pictorial works,Revenge,Terrorism,Urdu language materials,Accessible book,Protected DAISY","Rod Campbell, Rod Campbell, campbell-rod"
/subjects/picture_books,picture books,subject,Rotkäppchen,41,"Tales,Fairy tales,Juvenile literature,Folklore,Little Red Riding Hood (Tale),Pictorial works,Germany,Fairy Tales & Folklore - Single Title,Children's Books/Ages 4-8 Fiction,Children: Grades 2-3,Non-Classifiable,Children's 4-8,Juvenile Fiction,Juvenile fiction,Children's fiction,Picture books,Cuentos de hadas,Accessible book,Protected DAISY","Charles Perrault, Brothers Grimm"
/subjects/picture_books,picture books,subject,Jabberwocky,40,"Nonsense-verses, English,Children's poetry, English,English Fantasy poetry,English Nonsense verses,English poetry,Nonsense verses,Toy and movable books,Artists' books,Specimens,Shaw alphabet,Nonsense verses, English,Children's Books/Ages 4-8 Nonfiction,Children: Grades 1-2,Art - Sculpture,Juvenile Nonfiction / Poetry / General,Children's poetry,Poetry,Picture books,Fantasy fiction,Monsters, fiction,Adventure and adventurers, fiction,Stories in rhyme,Accessible book",Lewis Carroll
/subjects/picture_books,picture books,subject,Now we are six,39,"Children's poetry, English,English poetry,Poetry,Children's poetry,Juvenile fiction,Children's stories, English,Fiction,Juvenile literature,Picture books,Accessible book",A. A. Milne
/subjects/picture_books,picture books,subject,Mouse Soup,38,"Comadrejas,Soups,Weasels,Fiction,Sopas,Ficción juvenil,Ratones,Mice,Juvenile fiction,Accelerated Reader 2.5.,Children's fiction,Mice, fiction,Picture books for children,Picture books,Literature and fiction, juvenile,Accessible book,Protected DAISY","Arnold Lobel, Alain Prinsaud"
/subjects/picture_books,picture books,subject,Strega Nona,38,"Avarice,Fiction,Folklore,Grandmothers,Healing,Juvenile fiction,Magic,Memory,Strega Nona (Fictitious character),Tales,Fairy tales,Blind,Books and reading,Juvenile literature,Folklore, italy,Big books,Children's fiction,Witches, fiction,Magic, fiction,Gardening, fiction,Italy, fiction,Witches,Audiobooks,Strega Nona (Fictional character),Picture books,Toy and movable books,collectionID:caldecotthonor70,Accessible book,Protected DAISY",Tomie dePaola
/subjects/picture_books,picture books,subject,Stone soup,37,"Folklore,Soups,Spanish language,Picture books,Vocabulary,Readers,Juvenile fiction,Fiction,Novela juvenil,Juvenile literature,History,Children's fiction,Folklore, france,Soldiers, fiction,soup,neighbors,Caldecott Honor,Europe, fiction,collectionID:caldecotthonor40,Accessible book,Protected DAISY",Marcia Brown
/subjects/picture_books,picture books,subject,Days With Frog and Toad,37,"children's fiction,children's short stories in english,classics,comedy & humor,ficción juvenil,fiction,friendship,frogs,juvenile audience,juvenile fiction,juvenile works,lectures et morceaux choisis,primary school,ranas,readers,sapos,short stories for young readers,Spanish language,toads,vocabulary,Frogs, fiction,Friendship, fiction,Picture books,Literature and fiction, juvenile,Children's fiction,Frogs,Juvenile fiction,Toads,Friendship,Fiction,Accessible book,Protected DAISY",Arnold Lobel
/subjects/picture_books,picture books,subject,The selfish giant,36,"Giants,Picture books,Juvenile fiction,Fiction,Fairy tales,Gardens, fiction,Giants, fiction,Children's fiction,Selfishness,Accessible book,Protected DAISY",Oscar Wilde
/subjects/picture_books,picture books,subject,Madeline's rescue,36,"Children's stories, American,Dogs,Fiction,Juvenile fiction,Picture books for children,Rescues,Stories in rhyme,Paris (France),Caldecott medal book,Madeline (Fictitious character),Students,Girls,Animal welfare,Caldecott Medal,Children's stories,Schools,Orphans,Picture books,Children's fiction,Madeline (fictitious character), fiction,Paris (france), fiction,France, fiction,Orphans, fiction,Dogs, fiction,Audiobooks,Children's audiobooks,Conduct of life,Children,collectionID:caldecott50,Accessible book,Protected DAISY",Ludwig Bemelmans
/subjects/picture_books,picture books,subject,Princess and the Pea,36,"Fairy tales,Fiction,Princesses,Princess and the pea,Hans Christian Andersen,Puzzles,Juvenile literature,Ladybird Books,Kid's,Children,Children's,Juvenile,Books,Picture books,Stories,Folk lore,Fantasy,Matresses,Feather beds,Pea,Princess,Prince,Accessible book,Protected DAISY","Hans Christian Andersen, Barbara Lanza, Kari James"
/subjects/picture_books,picture books,subject,The Mixed-Up Chameleon,36,"Toy and movable books,Juvenile fiction,Zoo animals,Ficción juvenil,Fiction,Chameleons,Readers (Primary),Camaleones,Animales zoológicos,Zoos,Self-acceptance,Specimens,Aprobación de sí mismo,Parques zoológicos,picture books,art,children's fiction,Juvenile literature,Lizards, fiction,Children's stories,Self-acceptance, fiction,Fantasy fiction,Animals, fiction,Children's fiction,Pets, fiction,Toys, fiction,Accessible book,Protected DAISY",Eric Carle
/subjects/picture_books,picture books,subject,A pocket for Corduroy,35,"Teddy bears,Corduroy (Fictitions character),Fiction,Juvenile fiction,Pockets,Toys,Spanish language materials,Bolsillos,Ficción juvenil,Osos de felpa,Picture books,Picture books for children,Corduroy (fictitious character), fiction,Bears, fiction,Children's fiction,Toys, fiction,Animals, fiction,Bears,Corduroy (Fictitious character),Teddy bears, fiction,Toy and movable books,Accessible book,Protected DAISY","Don Freeman, Susan Rybin, Linda Tereyden"
/subjects/picture_books,picture books,subject,Peter's Chair,35,"Brothers,Brothers and sisters,Family,Hmong language materials,Chairs,Juvenile fiction,Children's stories,Fiction,Chinese language materials,Babies,African Americans,Spanish language materials,Bilingual,Picture books,Hermanos,Ficción juvenil,Niños lactantes,Infants,Children's fiction,Chairs, fiction,Infants, fiction,Brothers and sisters, fiction,African americans, fiction,Infantes lactantes,Novela juvenil,Novela,Boys, fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY",Ezra Jack Keats
/subjects/picture_books,picture books,subject,The pie and the patty-pan,35,"Juvenile fiction,Cats,Animals,Dogs,Children's stories,Fiction,Dogs in fiction,Cats in fiction,Picture books,Children's stories, English,Children's fiction,Rabbits, fiction,Katze,Hund,Accessible book,Protected DAISY","Beatrix Potter, H.Y. Xiao PhD"
/subjects/picture_books,picture books,subject,In the Night Kitchen,35,"Fantasy,Picture books for children,Picture books,Children's stories,Fantasy fiction,Juvenile fiction,Baking,Fiction,Pictures,Cake,Milk,Dreams,Children's fiction,Cooking, fiction,Night, fiction,Spanish language,Tortas,Novela juvenil,Leche,Hornería,Sueños,collectionID:caldecotthonor70,Accessible book,Protected DAISY","Maurice Sendak, Sendak"
/subjects/picture_books,picture books,subject,The Gruffalo's Child,34,"Fiction,Stories in rhyme,Mice,Animals,Curiosity,Juvenile fiction,Children's stories,Monsters,Pictorial works,Moed,Children's picture book,Children's fiction,Mice, fiction,Animals, fiction,Toy and movable books,Picture books,Child and youth fiction,Board books,Ipuinak-,Cuentos-,Miedo-,Haur eta gazteentzako liburuak,Libros infantiles,Beldurra-,Ficción juvenil,Ratones,Curiocidad,Jigsaw puzzles,Specimens,Literatura infanto-juvenil,Literatura inglesa,Accessible book,Protected DAISY","Julia Donaldson, Axel Scheffler"
/subjects/picture_books,picture books,subject,The True Story of the 3 Little Pigs!,33,"The True Story of the 3 Little Pigs!,By A. Wolf (As Told to Jon Scieszka),1991 Scholastic first printing,By A. Wolf,his story,actual story,he says,Front page news,Cerdos,Lobos,Juvenile fiction,Fiction,Novela juvenil,Pigs,Swine,Wolves,Neighbors,Gluttony,Sneezing,Truthfulness and falsehood,Prisoners,Children's fiction,Bears, fiction,Ficción juvenil,Pigs, fiction,Wolves, fiction,Pigs in fiction,Fairy tales,Wolves in fiction,Parodies, imitations,Adaptations,Humorous stories,Picture books,Accessible book,Protected DAISY","Jon Scieszka, Lane Smith, Lane Smith"
/subjects/picture_books,picture books,subject,The Carrot Seed,33,"Gardening,Fiction,Vegetable gardening,Juvenile fiction,Carrots,Ficción juvenil,Stories,Seeds,Gardens,Jardinería,Children's fiction,Plants, fiction,Gardening, fiction,Picture books,Accessible book,Protected DAISY","Ruth Krauss, Crockett Johnson, R. Krauss"
/subjects/picture_books,picture books,subject,Mouse Tales,33,"bedtime,beginning readers,children's fiction,children's stories,cuentos,ficción juvenil,fiction,high interest-low vocabulary books,juvenile audience,juvenile fiction,juvenile works,mice,picture books,ratones,readers,short stories,Spanish language materials,Mice, fiction,Children's fiction,Animals, fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY","Arnold Lobel, Syd Hoff, Edith Thacher Hurd"
/subjects/picture_books,picture books,subject,A Bell for Ursli,32,"Translations of Rhaeto-Romance/Romansh texts,Poetry,Picture books,Children,Switzerland, fiction,Stories in rhyme,Children's fiction,Adventure and adventurers, fiction,Accessible book,Protected DAISY","Selina Chönz, Alois Carigiet"
/subjects/picture_books,picture books,subject,Whistle for Willy,32,"African Americans,Dogs,Whistling,Fiction,Juvenile fiction,Children's stories,Children's fiction,Dogs, fiction,African americans, fiction,Perros,Silbido,Spanish language materials,Ficción juvenil,Afronorteamericanos,Picture books,Whistling in fiction,Dogs in fiction,African Americans in fiction,Accessible book,Protected DAISY",Ezra Jack Keats
/subjects/picture_books,picture books,subject,A Colour of his own,32,"Chameleons,Children's stories,Color,Fiction,Juvenile fiction,Stories in rhyme,Color, fiction,Children's fiction,Individuality,Friendship,Colors,Picture books,Children's literature,Animals, fiction,Lizards, fiction,Spanish language, readers,Camaleónes,Ficción juvenil,Spanish language materials,Chinese language materials,Accessible book,Protected DAISY",Leo Lionni
/subjects/picture_books,picture books,subject,The Tiny Seed,31,"Juvenile literature,Seeds,Plants,Dispersal,Plant life cycles,Juvenile fiction,Fiction,Development,Plants -- Juvenile literature,Seeds -- Juvenile literature,Plant life cycles -- Juvenile literature,Seeds -- Dispersal -- Juvenile literature,Seeds -- Dispersal,Plants, juvenile literature,Plant propagation,Seeds, juvenile literature,Children's fiction,Flowers, fiction,Picture books,Children's stories,Plants, fiction,Adventure and adventurers, fiction,Life cycles,JUVENILE NONFICTION / Readers / Beginner,Accessible book,Protected DAISY","Eric Carle, Alexis Romay, Gabriela Keselman"
/subjects/picture_books,picture books,subject,Mike Mulligan and His Steam Shovel,31,"Steam shovels,Fiction,Children's fiction,Steam shovels, fiction,Children's stories,Excavating machinery,Retirement,Juvenile fiction,Accelerated Reader 2.8.,Board books,Machinery,Contests,Friendship,Politics and government,Political prisoners,Biography,Technology, fiction,Ficción juvenil,Determination (Personality trait),Determinación (Rasgo de la personalidad),Excavadoras,Boys, fiction,Non-classifiable,Toy and movable books,Literature and fiction, juvenile,Picture books,Accessible book,Protected DAISY",Virginia Lee Burton
/subjects/picture_books,picture books,subject,The Little House,31,"Dwellings,City and town life,Fiction,Juvenile fiction,Country life,Country homes,Children's fiction,Houses, fiction,Cities and towns, fiction,buildings,Cities and towns,illustration,Caldecott Medal,memories,urban sprawl,Houses,Country life, fiction,Board books,Vida urbana,Viviendas,Ficción juvenil,Frontier and pioneer life, fiction,Family life, fiction,collectionID:caldecott40,Literature and fiction, juvenile,Picture books,Accessible book,Protected DAISY",Virginia Lee Burton
/subjects/picture_books,picture books,subject,The Grouchy Ladybug,31,"Juvenile fiction,Insects,Ladybugs,German language materials,Fiction,Toy and movable books,Behavior,Specimens,Spanish language materials,Materiales en español,Libros de juguete y movibles,Novela,Mariquitas,Ficción juvenil,Muestras,Children's fiction,Ladybugs, fiction,Behavior, fiction,Picture books for children,Picture books,Insects, fiction,Emotions, fiction,Children's stories,Pictorial works,Temper,Board books,Social interaction,Anglais (langue),Ouvrages pour la jeunesse,Livres illustrés pour enfants,Coccinelles,Accessible book,Protected DAISY",Eric Carle
